time,f1 ,f2,f1x,f2x,freq,pixel
1600,587,653,667,730,1.5,-111
1602,588,659,661,734,2,58
1604,588,649,665,731,3,293
1606,587,645,657,723,4.1,476
1608,604,646,680,715,5,589
1610,606,640,682,720,7,786
1612,607,642,681,721,10,992
1614,604,640,669,716,,
1616,604,637,678,712,sample,
1618,611,627,678,707,17:30,
1620,613,623,678,703,18:12,
1622,608,622,678,696,18:24,
1624,613,613,676,690,18:28,
1626,609,605,678,686,18:30,
1628,606,604,665,683,18:46,
1630,589,599,664,686,18:48,
1632,605,598,676,685,18:50,
1634,606,598,685,684,,
1636,590,598,675,688,,
1638,589,598,663,685,,
1640,570,591,660,685,,
1642,569,587,653,679,,
1644,572,587,651,676,,
1646,560,578,651,672,,
1648,569,569,646,659,,
1650,558,564,644,655,,
1652,559,557,638,647,,
1654,555,554,615,644,,
1656,555,555,629,639,,
1658,543,550,623,644,,
1700,549,549,627,645,,
1702,535,547,617,643,,
1704,528,544,607,641,,
1706,525,542,599,636,,
1708,516,539,587,632,,
1710,506,535,587,626,,
1712,510,534,585,628,,
1714,509,534,585,625,,
1716,494,531,574,624,,
1718,487,521,580,616,,
1720,467,512,557,611,,
1722,460,508,549,599,,
1724,454,499,548,599,,
1726,445,493,540,587,,
1728,432,488,531,586,,
1730,435,483,535,585,,
1732,400,481,510,580,,
1734,418,475,507,578,,
1736,392,475,,576,,
1738,369,471,,574,,
1740,357,468,,574,,
1742,308,465,,569,,
1744,303,454,,564,,
1746,272,446,,553,,
1748,284,440,,546,,
1750,307,432,439,538,,
1752,314,424,442,536,,
1754,346,414,457,528,,
1756,345,413,,520,,
1758,375,403,,505,,
1800,389,396,503,507,,
1802,410,390,508,507,,
1804,410,385,516,,,
1806,434,387,523,,,
1808,438,401,536,,,
1810,442,396,548,,,
1812,461,411,558,,,
1814,467,411,570,,,
1816,499,,578,,,
1818,506,,591,,,
1820,508,,589,,,
1822,508,,600,,,
1824,510,,608,565,,
1826,520,,608,,,
1828,522,452,607,,,
1830,528,452,611,,,
1832,531,,617,,,
1834,538,,617,,,
1836,547,,622,,,
1838,551,,628,,,
1840,558,,633,,,
1842,564,,637,,,
1844,574,,651,,,
1846,575,499,658,,,
1848,579,508,660,,,
1850,585,516,664,,,
1852,595,522,664,,,
1854,584,528,664,625,,
1856,586,529,662,,,
1858,585,535,658,,,
1900,587,535,667,643,,
1902,586,547,663,,,
1904,601,551,664,,,
1906,585,546,665,655,,
1908,602,556,676,648,,
1910,581,559,664,655,,
1912,583,560,667,,,
1914,584,565,667,648,,
1916,584,561,672,,,
1918,598,555,674,652,,
1920,608,571,685,,,
1922,613,577,688,657,,
1924,599,578,685,663,,
1926,586,584,668,671,,
1928,587,583,665,674,,
1930,585,584,665,675,,
